#DESKTOPSTATION,VERSION089,WRITTEN-BY-YAASAN
TxtMsgPortUnknownError,okänt fel.,
TxtMsgScriptTeaching,inlärningsläge aktivt,
TxtMsgScriptFinish,Klar/Avsluta,
TxtMsgBoxAttention,Varning,
TxtMsgBoxDeleteEvent,Vill du ta bort detta event?,
TxtMsgBoxDeleteLoc,Vill du radera detta lagrade loket och dess uppgifter?,
TxtMsgBoxCantDeleteEvent,Kan inte radera lok. Du behöver ha minst ett lok i databasen.,
TxtMsgBoxClearLayout,Vill du ta bort spårplanen?,
TxtMsgBoxTeachingMode,Vill du initiera inlärningsläget?,
TxtClkCfgOption,Klockalternativ,
TxtClkCfgUse,Använd användarspecifierad tid,
TxtClkCfgSpecifiedTime,Användarens specifierade tid,
TxtClkCfgHours,Timmar,
TxtClkCfgMinutes,minuter,
TxtClkCfgSeconds,sekunder,
TxtBtnCfgOption,Redigera knappegenskaper,
TxtBtnCfgMomentaryMode,Momentant läge,
TxtBtnCfgFncImage,Funktionssymbol,
TxtLeverCfgOption,Gas alternativ,
TxtLeverCfgControlMode,Reglagetyp,
TxtLeverCfgControlModeOption,Egenskaper för effektstyrningsläge,
TxtLeverCfgAccelerationgear,Acceleration växel,
TxtSelectLocOption,Lokegenskaper,
TxtCfgSerialPort,Konfigurera serieport,
TxtCfgSerialPortNo,Ingen port,
TxtCfgSerialPortBaudrate,Baudrate (använd standard om du är osäker),
TxtCfgSerialPortUseDTR,Använd Leonardo ( Aktivera DTR ),
TxtCfgS88Sensor,S88 sensor alternativ,
TxtCfgOthers,Andra alternativ,
TxtCfgStopAllLoc,Stoppa samtliga lok,
TxtCfgS88Use,Aktivera S88,
TxtCfgS88DetectInterval,Detekteringsintervall,
TxtCfgCabAddtional,Utökade  visningsalternativ,
TxtCfgCabRight,Höger sida,
TxtCfgCabBottom,Undersida,
TxtCfgMfxAutoRecognization,Automatiskt dekoderregistrering med MFX,
TxtCfgMfxRegister,Registrera MFX lok automatiskt,
TxtCfgMfxUpdate,Uppdatera MFX locs automatiskt,
TxtCfgLanguageOption,Språkalternativ,
TxtCfgLanguageDescription,Programomstart krävs innan ändringarna träder i kraft.,
TxtCfgMultipleScreen,Utökat programfönster,
TxtCfgScreenNum,Fönster,
TxtCfgScreen1,Fönster 1,
TxtCfgScreen2,Fönster 2,
TxtCfgScreen3,Fönster 3,
TxtCfgScreen4,Fönster 4,
TxtCfgDCCOption,DCC alternativ,
TxtCfgUseDCC,Använd DCC tillbehör,
TxtScrEditOption,Skriptredigeraren,
TxtScrEditSpeed,Hastighet (0-1023 ),
TxtScrEditFncNo,Ingen funktion,
TxtScrEditFncOnOff,Funktion på/av,
TxtScrEditReplaced,Rrsatt,
TxtScrEditDirection,Riktning,
TxtScrEditSwitch,Växel,
TxtScrEditAccAddress,Adress,
TxtScrEditPower,Effekt,
TxtScrEditWaitTime,Väntetid,
TxtScrEditLineNum,Radnummer,
TxtScrEditLabelName,???namn???,
TxtScrEditFlagNo,Flagga saknas (0-9 ),
TxtScrEditEquivVal,???värde???,
TxtScrEditValue,Värde,
TxtMenuAdd,Lägg till,
TxtMenuEdit,Redigera,
TxtMenuDelete,Radera,
TxtMenuCopy,Kopiera,
TxtMenuPaste,Klistra in,
TxtInfoTitle,Information,
TxtInfoDevices,Enheter anslutna med TrackBox:,
TxtLayoutTitle,Spårplansnamn,
TxtLayoutAccAddr,Adress på tillbehör,
TxtLayoutS88Addr,S88 sensoradress,
TxtLayoutMean,* Adress 0 har inte tilldelats.,
TxtAccEditTitle,Välj tillbehörstyp,
TxtAccEditType,tillbehörstyp,
TxtAccEditComment,Kommentar,
"TxtTriggerTitle","Triggeregenskaper",
"TxtTriggerIntervalTitle","tidsintervall",
"TxtTriggerClockTitle","Tid",
"TxtTriggerCondition","Trigger krav",
"TxtTriggerOption","Egenskaper",
"TxtAppEditor","Run file properties"""
"TxtAppName","App namn",
"TxtAppFile","Körbar fil",
"TxtAppTarget","Filens mål",
"TxtAppParam","Parametrar",
"TxtAppDetail","Detaljer",
"TxtOpen","Öppna",
"TxtCfgS88NumOfConnection","Antal anslutningar",
"TxtBtnCfgAssignRunFile","Filkörningsegenskaper",
"TxtBtnCfgAssignFunction","Funktionsegenskaper",
"TxtItemClock","Klocka",
"TxtItemEMGbutton","Nödstop",
"TxtItemAccessories","Tillbehör",
"TxtItemS88sensors","S88 sensorer",
"TxtItemNone","None",
"TxtItemLocomotive","Lokomotiv",
"TxtItemMultipleLocomotives","Flera lokomotiv",
"TxtItem6021keypad","6021 knappsats",
"TxtItemTracklayout","Spårplan",
"TxtItemLearning","Inlärningsläge",
"TxtItemEvent","Event",
"TxtItemConsole","Konsol",
"TxtSigItemSignal","Signal",
"TxtSigItemTurnoutleft","Växel vänster",
"TxtSigItemTurnoutright","Växel höger",
"TxtSigItemDoubleslipswitch","Korsväxel",
"TxtSigItemThreewayturnout","Trevägsväxel",
"TxtSigItemYardSignal","Bangårdssignal",
"TxtSigItemDistantSignal","??? Signal(76383)",
"TxtSigItemHomeSignal76391","Home Signal(76391)",
"TxtSigItemHomeSignal76393","Home Signal(76393)",
"TxtSigItemHomeSignal76394","Home Signal(76394)",
"TxtCondItemEntering","Ankommer",
"TxtCondItemLeaving","Avgår",
"TxtCondItemExisting","Befintlig",
"TxtCondItemNotExisting","Obefintligg",
"TxtCondItemInterval","Intervall",
"TxtCondItemClock","Klocka",
"TxtCondItemRandom","SLumpmässig",
"TxtCondItemRunning","Kör",
"TxtCondItemStopping","Stannar",
"TxtLeverSpeed","Hastighetskontroll",
"TxtLeverPower","Energikontroll",
"TxtNotSelected","ej markerad",
"TxtRead","Läs",
"TxtWrite","Skriv",
"TxtGenerate","Generera",
"TxtValue","Värde",
"TxtCVManualReadWrite","Läs och skriv manuellt",
"TxtCVNo","CV Nr.",
"TxtCV29Calc","CV29 kalkylator",
"TxtCVLocAdrRelated","Relaterade CVn",
"TxtCVInfo","Inkorrekt brukande av CV funktionen kan förstöra din dekoder. Använd med varsamhet.",
"TxtCV29_Bit0","0. Reversera riktning",
"TxtCV29_Bit1","1. 28/128 fartsteg",
"TxtCV29_Bit2","2. DC användbar",
"TxtCV29_Bit3","3. Railcom",
"TxtCV29_Bit4","4. hastighetskurva",
"TxtCV29_Bit5","5. Utökad lokadress",
"TxtCV29_Bit6","6. Tillverkarspecifierad 1",
"TxtCV29_Bit7","7. Tillverkarspecifierad 2",
"TxtCVAttention","Är du säker på att du vill skriva nya CV värden?",
"TxtCVAttentionTitle","CV skrivs..",
"TxtCVDCCLocAdrTitle","Generera och konfigurera DCC adress"""
"TxtID","ID",
"TxtOk","OK",
"TxtCancel","Avbryt",
"TxtNo","Nr",
"TxtVersion","Version",
"TxtLine","Linje",
"TxtCommand","Kommando",
"TxtFinish","Klar",
"TxtRunning","Kör..",
"TxtParam","Parameter",
"TxtTrackBoxType","Typ",
"Txt6021Off","Av",
"TxtCfgAutoCloseSerial","Stäng serieport vid nödstop",
"TxtEmergency","Nödstop",
