#DESKTOPSTATION,VERSION094,WRITTEN-BY-YAASAN,
"TxtLeverCfgControlModeOption","propriétés pour le mode de commande de puissance",
"TxtLeverCfgAccelerationgear","Vitesse d'accélération",
"TxtSelectLocOption","Sélectionnez locomotive",
"TxtCfgSerialPort","Propriétés du port série",
"TxtCfgSerialPortNo","Port Non",
"TxtCfgSerialPortBaudrate","Baudrate",
"TxtCfgSerialPortUseDTR","Utilisez le type Leonardo (Enable DTR)",
"TxtCfgS88Sensor","S88 capteur config",
"TxtCfgOthers","Autres propriétés",
"TxtCfgStopAllLoc","Arrêtez toutes les locomotives sur le pouvoir sur",
"TxtCfgS88Use","Utiliser S88",
"TxtCfgS88DetectInterval","Intervalle de détection",
"TxtCfgCabAddtional","Autres propriétés de fenêtre",
"TxtCfgCabRight","Côté droit",
"TxtCfgCabBottom","Dessous",
"TxtCfgMfxAutoRecognization","MFX recognization auto",
"TxtCfgMfxRegister","Inscrivez MFX locs automatiquement",
"TxtCfgMfxUpdate","Mettre à jour automatiquement MFX locs",
"TxtCfgLanguageOption","Propriétés de la langue",
"TxtCfgLanguageDescription","Les changements de langue seront appliquées après l'application a été redémarré.",
"TxtCfgMultipleScreen","Plusieurs écrans",
"TxtCfgScreenNum","Numéros d'écran",
"TxtCfgScreen1","Écran 1",
"TxtCfgScreen2","Écran 2",
"TxtCfgScreen3","Écran 3",
"TxtCfgScreen4","Écran 4",
"TxtCfgDCCOption","Propriétés DCC",
"TxtCfgUseDCC","Utilisez les accessoires DCC",
"TxtScrEditOption","Script Line Editor",
"TxtScrEditSpeed","Vitesse (0-1023)",
"TxtScrEditFncNo","Fonction Non",
"TxtScrEditFncOnOff","Fonction On / Off",
"TxtScrEditReplaced","Remplacé",
"TxtScrEditDirection","Direction",
"TxtScrEditSwitch","Interrupteur",
"TxtScrEditAccAddress","Adresse",
"TxtScrEditPower","Puissance",
"TxtScrEditWaitTime","Temps d'attente",
"TxtScrEditLineNum","Numéro de ligne",
"TxtScrEditLabelName","Nom de l'étiquette",
"TxtScrEditFlagNo","Drapeau Aucun (0-9)",
"TxtScrEditEquivVal","Valeur équivalente",
"TxtScrEditValue","Valeur",
"TxtMenuAdd","Ajouter",
"TxtMenuEdit","modifier",
"TxtMenuDelete","Effacer",
"TxtMenuCopy","exemplaire",
"TxtMenuPaste","Pâte",
"TxtInfoTitle","renseignements",
"TxtInfoDevices","Les périphériques connectés à TrackBox:",
"TxtLayoutTitle","Affectation des propriétés",
"TxtLayoutAccAddr","Adresse Accessoire",
"TxtLayoutS88Addr","Adresse du capteur S88",
"TxtLayoutMean","* Adresse 0 non affecté.",
"TxtAccEditTitle","Choisir type d'accessoire",
"TxtAccEditType","Type d'accessoire",
"TxtAccEditComment","commentaires",
"TxtTriggerTitle","Propriétés Trigger",
"TxtTriggerIntervalTitle","Temps d'interval",
"TxtTriggerClockTitle","Temps d'horloge",
"TxtTriggerCondition","Condition de déclenchement",
"TxtTriggerOption","Propriétés",
"TxtAppEditor","Exécutez le fichier de propriétés",
"TxtAppName","Nom de l'application",
"TxtAppFile","Fichier exécutable",
"TxtAppTarget","Fichier cible",
"TxtAppParam","Paramètres",
"TxtAppDetail","Détail",
"TxtOpen","Ouvert",
"TxtCfgS88NumOfConnection","Nombre de connexion",
"TxtBtnCfgAssignRunFile","Attribuer option de fichier d'exécution",
"TxtBtnCfgAssignFunction","Affectation de la fonction",
"TxtItemClock","Horloge",
"TxtItemEMGbutton","Touche EMG",
"TxtItemAccessories","Accessoires",
"TxtItemS88sensors","Capteurs S88",
"TxtItemNone","Aucun",
"TxtItemLocomotive","Locomotive",
"TxtItemMultipleLocomotives","Plusieurs locomotives",
"TxtItem6021keypad","Clavier 6021",
"TxtItemTracklayout","Tracé de la piste",
"TxtItemLearning","Apprentissage",
"TxtItemEvent","un événement",
"TxtItemConsole","Console",
"TxtSigItemSignal","Signal",
"TxtSigItemTurnoutleft","Le taux de participation a quitté",
"TxtSigItemTurnoutright","Aiguillage droit",
"TxtSigItemDoubleslipswitch","Double commutateur de glissement",
"TxtSigItemThreewayturnout","Participation à trois voies",
"TxtSigItemYardSignal","Signal de triage",
"TxtSigItemDistantSignal","Signal éloigné (76383)",
"TxtSigItemHomeSignal76391","Signal d'Accueil (76391)",
"TxtSigItemHomeSignal76393","Signal d'Accueil (76393)",
"TxtSigItemHomeSignal76394","Signal d'Accueil (76394)",
"TxtCondItemEntering","Entrer",
"TxtCondItemLeaving","En quittant",
"TxtCondItemExisting","Existant",
"TxtCondItemNotExisting","Non existant",
"TxtCondItemInterval","Intervalle",
"TxtCondItemClock","Horloge",
"TxtCondItemRandom","Aléatoire",
"TxtCondItemRunning","Fonctionnement",
"TxtCondItemStopping","Arrêt",
"TxtLeverSpeed","Contrôle de vitesse",
"TxtLeverPower","Contrôle de puissance",
"TxtNotSelected","Non séléctionné",
"TxtRead","lire",
"TxtWrite","écrire",
"TxtGenerate","Générer",
"TxtValue","Valeur",
"TxtCVManualReadWrite","Lisez le manuel et à écrire",
"TxtCVNo","CV no",
"TxtCV29Calc","Calculatrice de CV29",
"TxtCVLocAdrRelated","CV connexes",
"TxtCVInfo","La fonction de CV pourrait rendre le décodeur défectueux. À utiliser avec précaution.",
"TxtCV29_Bit0","0. inverser la direction",
"TxtCV29_Bit1","1. 28/128 pas de vitesse",
"TxtCV29_Bit2","2. DC Operationable",
"TxtCV29_Bit3","3. Railcom",
"TxtCV29_Bit4","4. Retard d'accélération / decellaration",
"TxtCV29_Bit5","5. longue Adresse Loc",
"TxtCV29_Bit6","6. Fabrication spécifiée 1",
"TxtCV29_Bit7","7. Fabrication spécifiée 2",
"TxtCVAttention","Etes-vous sûr que vous voulez écrire ce CV au décodeur de loc?",
"TxtCVAttentionTitle","Attention - Read / Write CV",
"TxtCVDCCLocAdrTitle","La création des adresses DCC et la configuration",
"TxtID","ID",
"TxtOk","D'accord",
"TxtCancel","Annuler",
"TxtNo","Non",
"TxtVersion","Version",
"TxtLine","Ligne",
"TxtCommand","Commander",
"TxtFinish","terminer",
"TxtRunning","Fonctionnement",
"TxtParam","Param",
"TxtTrackBoxType","Type",
"Txt6021Off","DE",
"TxtCfgAutoCloseSerial","Fermer serialport en cas d'arrêt",
"TxtEmergency","ARRÊT D'URGENCE",
"TxtAccReverseSignal","Signal de marche arrière",
"TxtCraneType","Type de grue",
"TxtCfgClearAcc","Effacer le statut d'accessoires au démarrage",
"TxtCfgConnectType","Type de connexion",
"TxtCfgConnectType1","Port série",
"TxtCfgConnectType2","HTTP / Web",
"TxtCfgConnectType3","Émulation",
"TxtCfgHTTPWeb","HTTP / propriétés Web",
"TxtCfgIPAddress","adresse IP",
"TxtAccInvisible","Invisible",
"TxtBtnCfgAssignment","Affectation",
"TxtLocFunction","Fonction Non",
"TxtAssignLoc","Affectation pour un autre loc",
"TxtAssignItemDefault","Défaut",
"TxtAssignItemExApp","App externe",
"TxtAssignItemExLoc","Un autre Loc",
"TxtScrEditTransition","Temps de transition [0,1s]",
"TxtCVDecodermanufacture","Décodeur de fabrication",
